Time Scale; Number of Packets; Total data (b); 
558.000000; 2770; 2078155; 
559.000000; 2371; 1771960; 
560.000000; 2241; 1682267; 
561.000000; 2282; 1720602; 
562.000000; 2664; 1998274; 
563.000000; 2131; 1596026; 
564.000000; 2670; 1995346; 
565.000000; 2362; 1775223; 
566.000000; 2873; 2147381; 
567.000000; 2171; 1630290; 
568.000000; 2910; 2186622; 
569.000000; 2632; 1977550; 
570.000000; 2323; 1740428; 
571.000000; 2320; 1739575; 
572.000000; 2746; 2051903; 
573.000000; 2873; 2153112; 
574.000000; 2889; 2165922; 
575.000000; 1990; 1480888; 
576.000000; 2581; 1932107; 
577.000000; 2547; 1916234; 
578.000000; 2050; 1545230; 
579.000000; 2417; 1819181; 
580.000000; 2858; 2143009; 
581.000000; 2532; 1898845; 
582.000000; 1855; 1386976; 
583.000000; 2498; 1870824; 
584.000000; 2027; 1516808; 
585.000000; 2720; 2036588; 
586.000000; 2488; 1870041; 
587.000000; 2358; 1759553; 
588.000000; 1913; 1440841; 
589.000000; 2112; 1584875; 
590.000000; 2216; 1668224; 
591.000000; 2636; 1987040; 
592.000000; 1905; 1436849; 
593.000000; 1823; 1370955; 
594.000000; 2851; 2113507; 
595.000000; 2776; 2071940; 
596.000000; 2912; 2182991; 
597.000000; 2648; 1983221; 
598.000000; 2966; 2225272; 
599.000000; 2193; 1650516; 
600.000000; 2443; 1834948; 
601.000000; 1831; 1379370; 
602.000000; 2729; 2054051; 
603.000000; 2006; 1509570; 
604.000000; 2629; 1961790; 
605.000000; 2217; 1655965; 
606.000000; 2483; 1860105; 
607.000000; 1968; 1469217; 
608.000000; 2534; 1900141; 
609.000000; 2850; 2149584; 
610.000000; 1853; 1387567; 
611.000000; 2212; 1657286; 
612.000000; 2641; 1984599; 
613.000000; 1864; 1405158; 
614.000000; 2861; 2137546; 
615.000000; 2537; 1901148; 
616.000000; 2617; 1953170; 
617.000000; 1980; 1487435; 
618.000000; 2592; 1946035; 
619.000000; 2794; 2098329; 
620.000000; 2660; 1984520; 
621.000000; 2427; 1826993; 
622.000000; 1968; 1469086; 
623.000000; 2438; 1815752; 
624.000000; 2633; 1967880; 
625.000000; 2797; 2092214; 
626.000000; 2855; 2129253; 
627.000000; 2361; 1775864; 
628.000000; 2003; 1496472; 
629.000000; 2224; 1677903; 
630.000000; 2025; 1522478; 
631.000000; 2056; 1530474; 
632.000000; 2637; 1982946; 
633.000000; 2867; 2146755; 
634.000000; 2701; 2044053; 
635.000000; 1880; 1408053; 
636.000000; 2253; 1684020; 
637.000000; 2166; 1617624; 
638.000000; 2698; 2032796; 
639.000000; 2433; 1809887; 
640.000000; 2958; 2220798; 
641.000000; 1929; 1452762; 
642.000000; 2011; 1505632; 
643.000000; 2624; 1971411; 
644.000000; 2322; 1734830; 
645.000000; 2082; 1560594; 
646.000000; 2503; 1878481; 
647.000000; 2949; 2207786; 
648.000000; 2250; 1689162; 
649.000000; 2148; 1609626; 
650.000000; 2185; 1639784; 
651.000000; 2616; 1952088; 
652.000000; 1875; 1398379; 
653.000000; 2696; 2018586; 
654.000000; 1830; 1377286; 
655.000000; 2241; 1681176; 
656.000000; 2464; 1839231; 
657.000000; 2675; 2011888; 
658.000000; 2175; 1621237; 
659.000000; 2518; 1882142; 
660.000000; 2697; 2049113; 
661.000000; 1881; 1409269; 
662.000000; 2369; 1782408; 
663.000000; 1896; 1419898; 
664.000000; 2496; 1877030; 
665.000000; 1900; 1435289; 
666.000000; 2873; 2148053; 
667.000000; 2046; 1522869; 
668.000000; 2653; 1989815; 
669.000000; 2945; 2213038; 
670.000000; 1957; 1471449; 
671.000000; 2951; 2205542; 
672.000000; 2648; 1977475; 
673.000000; 2449; 1830867; 
674.000000; 2095; 1574082; 
675.000000; 2648; 1993923; 
676.000000; 2042; 1533079; 
677.000000; 2124; 1582984; 
678.000000; 2442; 1824068; 
679.000000; 2719; 2037821; 
680.000000; 2171; 1639302; 
681.000000; 2856; 2142021; 
682.000000; 2499; 1875612; 
683.000000; 2895; 2171987; 
684.000000; 2377; 1783175; 
685.000000; 2246; 1690867; 
686.000000; 2801; 2102905; 
687.000000; 2403; 1791766; 
688.000000; 1905; 1426931; 
689.000000; 1886; 1418225; 
690.000000; 1923; 1450989; 
691.000000; 2772; 2076903; 
692.000000; 1987; 1490772; 
693.000000; 2384; 1792733; 
694.000000; 2471; 1855077; 
695.000000; 2842; 2134299; 
696.000000; 2339; 1756089; 
697.000000; 2855; 2153518; 
698.000000; 2425; 1818356; 
699.000000; 2043; 1527445; 
700.000000; 2108; 1582151; 
701.000000; 2664; 1997657; 
702.000000; 1807; 1352307; 
703.000000; 2205; 1652942; 
704.000000; 1809; 1361397; 
705.000000; 2051; 1541103; 
706.000000; 2238; 1676305; 
707.000000; 1834; 1374421; 
708.000000; 2703; 2020151; 
709.000000; 2260; 1694968; 
710.000000; 2637; 1965061; 
711.000000; 2503; 1874976; 
712.000000; 2344; 1743104; 
713.000000; 1910; 1434758; 
714.000000; 2993; 2228997; 
715.000000; 2774; 2100921; 
716.000000; 2795; 2078931; 
717.000000; 2591; 1940820; 
718.000000; 2514; 1888540; 
